Code,float_gauss1_core_min,float_gauss1_core_std,float_gauss2_core_min,float_gauss2_core_max,float_gauss2_core_mean,float_gauss2_core_std,float_repulsion_core_min,float_repulsion_core_max,float_repulsion_core_mean,float_repulsion_core_std,float_hydrophobic_core_max,float_hydrophobic_core_mean,float_gauss1_shell1_min,float_gauss2_shell1_max,float_gauss2_shell1_std,float_repulsion_shell1_min,float_hydrophobic_shell1_max
727,-8.758399963,0.4880623221,-56.92903137,0.8935700059,-0.147124514,2.380517006,-7.57130003,0.5123180151,-0.01425556187,0.2743597031,5.725580215,0.01787163876,-7.051479816,1.475119948,0.4192125797,-1.346698999,2.478588104
1004,-8.803250313,0.482637763,-362.7538452,0.8935700059,-0.7565031648,13.58342457,-1.922691941,0.9387680292,-0.004690585192,0.09050793201,6.361139774,0.01863388531,-7.312950134,1.475119948,0.9597391486,-1.429008007,2.327610016
1982,-8.821439743,0.484952867,-407.6578369,0.8935700059,-0.928462863,16.42268562,-3.659610033,2.228435993,-0.006233266555,0.154454425,5.598189831,0.01795824803,-7.266429901,1.475119948,2.790174961,-1.467949986,2.327610016
1988,-8.689829826,0.4815827906,-386.7442322,1.802597046,-0.6096943617,11.99390888,-2.071537971,0.6103330255,-0.00546846306,0.09465714544,6.413939953,0.01917174831,-6.805860043,1.475119948,3.271296978,-1.532259941,2.341110945
2078,-8.827659607,0.4963666499,-272.6806641,1.599091053,-0.4994213581,9.840341568,-3.005654097,1.320227981,-0.005637231283,0.1235987097,6.682390213,0.01925034821,-7.037620068,1.475119948,0.8154168129,-1.395473957,2.475543976
2256,-8.642780304,0.4769064784,-362.5588379,1.683738947,-0.8421682119,15.73851204,-5.97025013,0.1581870019,-0.01179867145,0.2172921747,5.9896698,0.01836908422,-7.369880199,1.475119948,1.369584441,-1.286484957,2.517438889
2319,-8.70333004,0.4804406762,-350.8792419,0.8935700059,-0.5864009857,11.57681465,-3.898560047,1.47376895,-0.007653889712,0.1534993052,6.127870083,0.01887721568,-7.025909901,1.475119948,3.152778864,-1.512840033,2.513396978
2328,-8.701640129,0.4847817719,-208.90242,0.8935700059,-0.6003031731,9.866580963,-2.890180111,0.8081690073,-0.00497185858,0.1036648601,6.315909863,0.01834376156,-7.189730167,1.475119948,1.169898868,-1.357362986,2.327610016
2730,-8.507639885,0.473210156,-478.5882263,1.899888039,-0.6278178692,13.79114628,-4.02120018,0.1581870019,-0.008229882456,0.1369704902,6.630219936,0.01961206645,-6.804100037,1.475119948,4.734110832,-1.505473971,2.536915064
2871,-8.849913597,0.5120158792,-115.8392792,1.448099971,-0.2863510549,5.04433918,-2.365108013,2.119725943,-0.002927128924,0.1016950384,6.442540169,0.01841951534,-6.759850025,1.475119948,0.4016382694,-1.567564011,2.613198042
2912,-8.604610443,0.4647110403,-671.9382324,1.336776018,-0.6596931219,18.61868286,-3.358799934,1.219303012,-0.005715766456,0.1156325266,6.952370167,0.01895458251,-6.724699974,1.475119948,6.044007301,-1.47626996,2.360271931
3017,-8.469240189,0.4720723331,-215.3532257,1.314000964,-0.3043954968,6.679991245,-2.55299592,0.4124130011,-0.006356128026,0.1102897003,6.158520222,0.0186978858,-6.959479809,1.475119948,2.120079279,-1.491953015,2.487164021
3030,-8.924591064,0.5099076033,-480.2382202,4.022328854,-0.6266422272,14.67604828,-3.456510067,0.1581870019,-0.00826802291,0.1320787817,8.096443176,0.02162977494,-7.007239819,1.475119948,4.448979855,-1.500462055,2.768981934
3031,-8.802109718,0.4898221791,-289.2722168,2.189907074,-0.3279129267,8.267532349,-2.948086023,0.1581870019,-0.00696988916,0.1161203235,6.576739788,0.01970227249,-7.06595993,1.475119948,2.719322443,-1.398448944,2.464731932
3036,-8.476860046,0.5225974321,-61.22859955,0.8935700059,-0.1584563851,2.634489536,-3.647629976,0.9209290147,-0.005177004728,0.1180802286,6.380300045,0.01927034371,-8.212100029,2.075654984,0.03389942646,-1.448130012,2.327610016
3039,-8.814840317,0.4775205851,-380.0802307,0.8935700059,-0.7060170174,12.98927689,-4.87966013,0.3513369858,-0.009914300404,0.1917667389,5.651850224,0.01765846647,-7.207069874,1.475119948,3.506456375,-1.468464971,2.36886692
3082,-8.805700302,0.4723725021,-369.2922363,2.226506948,-0.4936386645,11.11702919,-4.457719803,0.7706199884,-0.007971109822,0.1620643735,5.732049942,0.01776041649,-6.894760132,1.475119948,2.972254753,-1.480659008,2.498317003
3118,-8.660699844,0.4735534489,-410.6952209,1.700467944,-0.8743054867,16.07585526,-3.6521101,2.533816099,-0.005494256504,0.1566582471,6.469399929,0.01972410083,-6.705989838,1.475119948,3.577103138,-1.520943999,2.573625088
3120,-8.788829803,0.4937925935,-475.103241,0.8935700059,-0.5087145567,13.11638165,-1.403911948,0.3451620042,-0.003714893712,0.06486210972,6.57848978,0.0188469179,-6.957369804,1.475119948,4.507586956,-1.481269002,2.392043114
3224,-8.735420227,0.4764660299,-643.7382202,2.19688201,-0.7673017979,18.3823204,-5.731770039,0.5342689753,-0.009894905612,0.2014259994,5.634570122,0.01728535444,-7.134860039,1.475119948,5.283786297,-1.446617961,2.40853405
3225,-8.678019524,0.4744930565,-347.1582336,0.8935700059,-1.050991535,16.94818687,-4.946650028,0.1581870019,-0.008575961925,0.1633265913,6.411769867,0.01854701713,-7.093540192,1.475119948,1.547566891,-1.374781013,2.442951918
3346,-8.554510117,0.4644401968,-474.3482361,1.896348953,-0.9014787674,16.61120415,-3.412852049,0.2631370127,-0.005301646888,0.1053727195,5.959710121,0.01855255291,-6.959670067,1.475119948,4.23281765,-1.633237004,2.429635048
3347,-8.8347826,0.4741678536,-241.7592316,2.187693119,-0.3905259073,7.580032349,-2.390686989,1.734805942,-0.003204832785,0.0945154801,6.200459957,0.01892687567,-6.919839859,1.475119948,1.666570663,-1.554236054,2.500014067
3352,-8.656180382,0.4843836129,-260.0232239,2.005613089,-0.6756621599,11.28721046,-8.390049934,1.193619013,-0.01655831747,0.3237065375,6.312510014,0.01956588402,-6.883910179,1.475119948,2.504006147,-1.596624017,2.549879074
3496,-8.656180382,0.4805975556,-222.3338318,2.09484911,-0.4811465442,9.311681747,-2.140185118,1.804855943,-0.002101118676,0.09417571872,6.50135994,0.01893370412,-7.113810062,1.475119948,2.038371563,-1.535344958,2.327610016
4004,-8.010700226,0.4759041965,-211.1768341,0.8935700059,-0.4449916184,7.485098362,-2.432590008,0.6898699999,-0.003914522938,0.0872387141,6.555490017,0.01953647099,-7.034920216,1.475119948,0.5908436179,-1.435935974,2.39993
4109,-8.951669693,0.4815562367,-280.1586609,1.834414959,-0.5261315703,10.10256767,-2.880173922,0.7269459963,-0.004325578455,0.0962426737,6.340270042,0.01867493615,-7.137279987,1.475119948,1.304497123,-1.469396949,2.345669985
4130,-8.842416763,0.4995977581,-243.0772247,4.075509071,-0.2506384254,6.761207581,-2.646086931,0.3434360027,-0.006178350188,0.1083104163,7.899567127,0.02147666924,-7.06155014,1.475119948,2.099131346,-1.458132029,2.407073021
